Rating, Review
10.0,Tuyet. phòng sạch sẽ^ nhân viên thân thiện
4.8,Nhân viên không chuyên nghiệp có phần muốn ăn thêm tiền của khách hàng . Lúc chúng tôi đi ra ngoài chơi thì có cô lao công vào dọn dẹp phòng^ lúc tôi nhận được phòng thì cây quạt nó bị kẹt ở tủ tôi kéo ra xong một hồi thì nó bóc khói và hư cây quạt^ bảo vệ bảo chúng tôi là do chúng tôi sử dụng ngày đêm nên mới bị hư như vậy. Nhóm chúng tôi mua đồ nướng về chỉ mượn mỗi cái lò( lò móp hết) tất cả các dụng cụ khác chúng tôi đều mua. Có chén dĩa ăn xong chúng tôi cũng tự mình dọn dẹp rửa chén luôn nhưng vẫn bị tính phí 100k/1 đêm mượn lò ??? Bảo vệ bảo là tiền nước rửa chén và nước xả ra mình thấy hợp lý nhưng 2 ngày thì tính mình 200k ??? Ăn uống mà bảo vệ cứ ngồi đó xỉa xói^ mấy đứa này ăn cả làng cả xóm ăn gì ăn quài^ cứ nói liên tục bên tai rất khó chịu. Sẽ không bao giờ quay lại đây nữa mặc dù phòng sạch sẽ và đầy đủ tiện nghi 
9.6,Trên cả tuyệt vời. KS KHÁ OK . NGỦ AN TOÀN . SẠCH SẺ CHỈ CÓ CÁI LÀ PHÒNG MÌNH Ở KO CÓ TIVI AHUHU
8.0,Tốt. Phòng sạch sẽ^ ăn sáng ngon
7.2,Khách sạn tốt - Nhân viên nhiệt tình. Điều kiện phòng nhìn chung tốt. Phòng tắm hơi dơ^ thoát nước chậm^ toilet cũ ố vàng nhiều chỗ . Đồ ăn nấu ngon nhưng ko rẻ. Nên hỏi giá trước khi quyết định ăn.
9.2,Vẫn là 1 nới tốt để ghé mỗi lần đi Vũng Tàu. Giá cả hợp lý^ địa điểm tốt. Nhân viên thân thiện.
9.2,Giá rẻ^ gần khu vực tượng chúa Kito^ ăn uống xung quanh tiện. Giá rẻ^ gần khu vực tượng chúa Kito^ ăn uống xung quanh tiện
10.0,Khách sạn thân thiện. Phòng sạch sẽ^ giá hợp lý^ cô chủ dễ thương
10.0,Rất thân thiện. Gần biển^ gần khu ăn uống^ giá cả hợp lý
10.0,Khách Sạn tuyệt vời. mọi người trong khách sạn rất nhiệt tình va chu đáo
7.6,Phòng tiện nghi nhưng đồ đạc hay hư hỏng. phòng đẹp^ rộng rãi nhưng chưa đc bảo trì tốt (cửa sổ kẹt^ không mở ra đc). Vị trí tương đối tốt (cách biến vài phút đi bộ)
4.0,Phòng k như hình ảnh minh hoạ. Tôi đặt 1 phòng 3 giường. Nghĩ rằng phòng 3 giừong sẽ to và thoải mái. Đến khi nhận phòng hoàn toàn thất vọng. Phòng nhỏ - giường 2 người ngủ thì nhỏ chỉ đủ 1 người ngủ. Tường thì ố vàng . Toilet thì dơ. Khách sạn ở sâu trong khi dân cư hẻm nhỏ xe ra vào hơi cực tí. Chỉ được nhân viên nhiệt tình dễ chịu. 
2.8,Cực kỳ thất vọng^ không bao giờ quay lại. Mình đã book phòng & trả tiền trước rồi. 2:30 mình tới lấy phòng^ nhân viên báo ko có phòng do có khách ở trước không chịu về. Hỏi mình qua ở phòng 2 giường được ko^ sẽ kê thêm tấm nệm phụ (trong khi mình thuê phòng 3 giường lớn cho 6 người). Mình ko đồng ý thì kêu qua khách sạn đối diện ở (cái đó là nhà nghỉ chứ ko phải khách sạn). Phải nói gần 1h nhân viên mới chịu lên lấy lại đúng phòng đã book cho mình. Lên phòng thì phòng nhỏ giường sát rạt nhau^ coi lại hình trên agoda mới để ý hình chụp phòng 3 giường mà thật ra là hình chụp phòng 2 giường (bị lừa)^ Agoda phải duyệt hình ảnh trước khi up lên mới phải chứ ?. Mở TV thì mở hoài ko được^ định điện thoại báo tiếp tân^ cầm điện thoại bàn lên thì phát hiện điện thoại để trưng chơi ko có dây cắm^ ko có lổ cắm lấy gì gọi. Phải đi từ lầu 3 xuống báo^ nhân viên hẹn lát lên sửa - tới lúc check out luôn cũng ko ai lên. Máy lạnh thì ko biết từ thời nào^ chạy 2-3h mới thấy...hơi mát mát. Buổi chiều ks cúp điện^ ko có máy phát điện
6.0,Minh Nhân. Mình đặt mùng 4 Tết cho khách hàng là đối tác của mình. Biết là khách ở Vũng Tàu sẽ đông nhưng không nghĩ đông như vậy. Ban đầu đặt 4 phòng giường đôi. Đến khi nhận phòng thì chủ ks tự sắp 2 phòng giường đôi do Chị chủ nhìn lộn booking. Bắt buộc mình phải sắp xếp cho các anh chị ở chung phòng. Đối tác của mình rất bực bội vì họ đi gia đình riêng mà phải cho họ vô chung phòng với nhau. Khách sạn gần biển^ Chị chủ nhiệt tình^ vui vẻ^ thoải mái. Nội thất hơi xuống cấp
9.2,Ấn tượng tốt và sẽ quay lại. Khách sạn gần biển^ xe hơi vào tới cổng^ tiếp tân^ phục vụ phòng^ bảo vệ^ vui vẻ nhiệt tình. Khoá cửa sổ hư gây ồn khi gió to đập vào cửa. Nước nóng có chậm phải chờ hơi lâu.. => tôi sẽ còn quay lại đây
10.0,Khách sạn thân thiện^ sạch sẽ và đầy đủ tiện nghi !. Tất cả mọi người ở đây từ bác bảo vệ đến anh quản lý đều rất thân thiện^ nhiệt tình^ phòng ốc rất tiện nghi và sạch sẽ^ vị trí tốt^ đi bộ ra biển tầm 7p^ tuy 1* nhưng theo quan điểm cá nhân là phòng rộng và tốt hơn khá nhiều so với nhiều khách sạn 2*-3* khác. Chắc chắn sẽ quay lại khách sạn khi mình đến Vũng Tàu lần tới. Tks All
4.4,Hoàn toan thất vọng cho lần quay lại này. Mình đặt Standard double room^ check hình ảnh phòng trước khi đặt thấy có cửa sổ và thông tin phòng cũng có note city view. Mặc dù mình có note là mình muốn phòng lầu cao và nice view nhé^ nhưng không ai trả lời request.. Đến lúc nhận phòng thì nhận được phòng 104 (lầu 1 đó)^ nhưng mình cung ok vì có thể thông cảm cuối tuần. Đến lúc lên phòng thì nhận được phòng không có nổi cái cửa sổ. Thật sự thất vọng rất nhiều.. Phản ánh lại nhân viên là vì sao phòng không đúng với thông tin trên mạng thì nhân viên báo tại mình book phòng trễ nên phòng có cửa sổ đã hết. What the hell!!! Yêu cầu cancel thì được báo là vẫn charge tiền nha bạn.. Nói chung là đi chơi mà nhận cái phòng không hài lòng là chẳng muốn quay lại.. Good bye and never again!
7.6,Khách sạn khá tốt. Phòng ốc sạch sẽ^ tuy nhiên đồ nội thất hơi xuống cấp chút. Nhân viên thân thiên^ cô chú chủ khách dễ chịu^ tử tế. Từ khách sạn đi bộ ra biển cũng rất gần^ chỉ có điều khu trên này không nhộ n nhịp được như khúc dưới Phan Văn Trị.
